snd 	0.00	S	1000	0	0
rcv 	0.00	SA	2000	0	1001
snd 	0.00	A	1001	0	2001
snd 	0.00	D	1001	1	2001
snd 	0.00	D	1002	1	2001
snd 	0.00	D	1003	1	2001
snd 	0.00	D	1004	1	2001
snd 	0.00	D	1005	1	2001
snd 	0.00	D	1006	1	2001
snd 	0.00	D	1007	1	2001
snd 	0.00	D	1008	1	2001
snd 	0.00	D	1009	1	2001
snd 	0.00	D	1010	1	2001
snd 	0.00	D	1011	1	2001
snd 	0.00	D	1012	1	2001
snd 	0.00	D	1013	1	2001
snd 	0.00	D	1014	1	2001
snd 	0.00	D	1015	1	2001
snd 	0.00	D	1016	1	2001
snd 	0.00	D	1017	1	2001
snd 	0.00	D	1018	1	2001
snd 	0.00	D	1019	1	2001
snd 	0.00	D	1020	1	2001
snd 	0.00	D	1021	1	2001
snd 	0.00	D	1022	1	2001
snd 	0.00	D	1023	1	2001
snd 	0.00	D	1024	1	2001
snd 	0.00	D	1025	1	2001
snd 	0.00	D	1026	1	2001
snd 	0.00	D	1027	1	2001
snd 	0.00	D	1028	1	2001
snd 	0.00	D	1029	1	2001
snd 	0.00	D	1030	1	2001
snd 	0.00	D	1031	1	2001
snd 	0.00	D	1032	1	2001
snd 	0.00	D	1033	1	2001
snd 	0.00	D	1034	1	2001
snd 	0.00	D	1035	1	2001
snd 	0.00	D	1036	1	2001
snd 	0.00	D	1037	1	2001
snd 	0.00	D	1038	1	2001
snd 	0.00	D	1039	1	2001
snd 	0.00	D	1040	1	2001
snd 	0.00	D	1041	1	2001
snd 	0.00	D	1042	1	2001
snd 	0.00	D	1043	1	2001
snd 	0.00	D	1044	1	2001
snd 	0.00	D	1045	1	2001
snd 	0.00	D	1046	1	2001
snd 	0.00	D	1047	1	2001
snd 	0.00	D	1048	1	2001
snd 	0.00	D	1049	1	2001
snd 	0.00	D	1050	1	2001
snd 	0.00	D	1051	1	2001
snd 	0.00	D	1052	1	2001
snd 	0.00	D	1053	1	2001
snd 	0.00	D	1054	1	2001
snd 	0.00	D	1055	1	2001
snd 	0.00	D	1056	1	2001
snd 	0.00	D	1057	1	2001
snd 	0.00	D	1058	1	2001
snd 	0.00	D	1059	1	2001
snd 	0.00	D	1060	1	2001
snd 	0.00	D	1061	1	2001
snd 	0.00	D	1062	1	2001
snd 	0.00	D	1063	1	2001
snd 	0.00	D	1064	1	2001
snd 	0.00	D	1065	1	2001
snd 	0.00	D	1066	1	2001
snd 	0.00	D	1067	1	2001
snd 	0.00	D	1068	1	2001
snd 	0.00	D	1069	1	2001
snd 	0.00	D	1070	1	2001
snd 	0.00	D	1071	1	2001
snd 	0.00	D	1072	1	2001
snd 	0.00	D	1073	1	2001
snd 	0.00	D	1074	1	2001
snd 	0.00	D	1075	1	2001
snd 	0.00	D	1076	1	2001
snd 	0.00	D	1077	1	2001
snd 	0.00	D	1078	1	2001
snd 	0.00	D	1079	1	2001
snd 	0.00	D	1080	1	2001
snd 	0.00	D	1081	1	2001
snd 	0.00	D	1082	1	2001
snd 	0.00	D	1083	1	2001
snd 	0.00	D	1084	1	2001
snd 	0.00	D	1085	1	2001
snd 	0.00	D	1086	1	2001
snd 	0.00	D	1087	1	2001
snd 	0.00	D	1088	1	2001
snd 	0.00	D	1089	1	2001
snd 	0.00	D	1090	1	2001
snd 	0.00	D	1091	1	2001
snd 	0.00	D	1092	1	2001
snd 	0.00	D	1093	1	2001
snd 	0.00	D	1094	1	2001
snd 	0.00	D	1095	1	2001
snd 	0.00	D	1096	1	2001
snd 	0.00	D	1097	1	2001
snd 	0.00	D	1098	1	2001
snd 	0.00	D	1099	1	2001
snd 	0.00	D	1100	1	2001
snd 	0.04	D	1001	1	2001
snd 	0.06	D	1001	1	2001
rcv 	0.06	A	2001	0	1002
snd 	0.06	D	1101	1	2001
rcv 	0.06	A	2001	0	1003
snd 	0.06	D	1102	1	2001
rcv 	0.06	A	2001	0	1004
rcv 	0.06	A	2001	0	1005
snd 	0.06	D	1103	1	2001
snd 	0.06	D	1104	1	2001
rcv 	0.06	A	2001	0	1006
rcv 	0.06	A	2001	0	1007
snd 	0.06	D	1105	1	2001
snd 	0.06	D	1106	1	2001
rcv 	0.06	A	2001	0	1008
snd 	0.06	D	1107	1	2001
rcv 	0.06	A	2001	0	1009
snd 	0.06	D	1108	1	2001
rcv 	0.07	A	2001	0	1010
snd 	0.07	D	1109	1	2001
rcv 	0.07	A	2001	0	1011
rcv 	0.07	A	2001	0	1012
snd 	0.07	D	1110	1	2001
snd 	0.07	D	1111	1	2001
rcv 	0.07	A	2001	0	1013
snd 	0.07	D	1112	1	2001
rcv 	0.07	A	2001	0	1014
rcv 	0.07	A	2001	0	1015
rcv 	0.07	A	2001	0	1016
rcv 	0.07	A	2001	0	1017
snd 	0.07	D	1113	1	2001
snd 	0.07	D	1114	1	2001
snd 	0.07	D	1115	1	2001
snd 	0.07	D	1116	1	2001
rcv 	0.07	A	2001	0	1018
rcv 	0.07	A	2001	0	1019
rcv 	0.07	A	2001	0	1020
rcv 	0.07	A	2001	0	1021
snd 	0.07	D	1117	1	2001
snd 	0.07	D	1118	1	2001
snd 	0.07	D	1119	1	2001
snd 	0.07	D	1120	1	2001
rcv 	0.07	A	2001	0	1022
snd 	0.07	D	1121	1	2001
rcv 	0.07	A	2001	0	1023
rcv 	0.07	A	2001	0	1024
snd 	0.07	D	1122	1	2001
snd 	0.07	D	1123	1	2001
rcv 	0.07	A	2001	0	1025
snd 	0.07	D	1124	1	2001
rcv 	0.07	A	2001	0	1026
snd 	0.08	D	1125	1	2001
rcv 	0.08	A	2001	0	1027
snd 	0.08	D	1126	1	2001
rcv 	0.08	A	2001	0	1028
snd 	0.08	D	1127	1	2001
rcv 	0.08	A	2001	0	1029
snd 	0.08	D	1128	1	2001
rcv 	0.08	A	2001	0	1030
snd 	0.08	D	1129	1	2001
rcv 	0.08	A	2001	0	1031
rcv 	0.08	A	2001	0	1032
rcv 	0.08	A	2001	0	1033
rcv 	0.08	A	2001	0	1034
rcv 	0.08	A	2001	0	1035
snd 	0.08	D	1130	1	2001
snd 	0.08	D	1131	1	2001
snd 	0.08	D	1132	1	2001
snd 	0.08	D	1133	1	2001
snd 	0.08	D	1134	1	2001
rcv 	0.08	A	2001	0	1036
snd 	0.08	D	1135	1	2001
rcv 	0.08	A	2001	0	1037
rcv 	0.08	A	2001	0	1038
snd 	0.08	D	1136	1	2001
snd 	0.08	D	1137	1	2001
rcv 	0.08	A	2001	0	1039
rcv 	0.08	A	2001	0	1040
rcv 	0.08	A	2001	0	1041
rcv 	0.08	A	2001	0	1042
snd 	0.08	D	1138	1	2001
snd 	0.08	D	1139	1	2001
snd 	0.08	D	1140	1	2001
snd 	0.08	D	1141	1	2001
rcv 	0.09	A	2001	0	1043
rcv 	0.09	A	2001	0	1044
snd 	0.09	D	1142	1	2001
snd 	0.09	D	1143	1	2001
rcv 	0.09	A	2001	0	1045
rcv 	0.09	A	2001	0	1046
snd 	0.09	D	1144	1	2001
snd 	0.09	D	1145	1	2001
rcv 	0.09	A	2001	0	1047
snd 	0.09	D	1146	1	2001
snd 	0.10	D	1047	1	2001
snd 	0.11	D	1047	1	2001
snd 	0.12	D	1047	1	2001
snd 	0.13	D	1047	1	2001
snd 	0.15	D	1047	1	2001
snd 	0.16	D	1047	1	2001
snd 	0.17	D	1047	1	2001
snd 	0.18	D	1047	1	2001
rcv 	0.19	A	2001	0	1048
snd 	0.19	D	1048	1	2001
rcv 	0.19	A	2001	0	1049
snd 	0.19	D	1147	1	2001
snd 	0.19	D	1148	1	2001
rcv 	0.19	A	2001	0	1050
rcv 	0.19	A	2001	0	1051
snd 	0.20	D	1149	1	2001
snd 	0.20	D	1150	1	2001
rcv 	0.21	A	2001	0	1052
rcv 	0.21	A	2001	0	1053
rcv 	0.21	A	2001	0	1054
rcv 	0.21	A	2001	0	1055
rcv 	0.21	A	2001	0	1056
rcv 	0.21	A	2001	0	1057
rcv 	0.21	A	2001	0	1058
rcv 	0.21	A	2001	0	1059
rcv 	0.21	A	2001	0	1060
rcv 	0.21	A	2001	0	1061
rcv 	0.21	A	2001	0	1062
rcv 	0.21	A	2001	0	1063
rcv 	0.21	A	2001	0	1064
rcv 	0.21	A	2001	0	1065
rcv 	0.21	A	2001	0	1066
snd 	0.21	D	1151	1	2001
snd 	0.21	D	1152	1	2001
snd 	0.21	D	1153	1	2001
snd 	0.21	D	1154	1	2001
snd 	0.21	D	1155	1	2001
snd 	0.21	D	1156	1	2001
snd 	0.21	D	1157	1	2001
snd 	0.21	D	1158	1	2001
snd 	0.21	D	1159	1	2001
snd 	0.21	D	1160	1	2001
snd 	0.21	D	1161	1	2001
snd 	0.21	D	1162	1	2001
snd 	0.21	D	1163	1	2001
snd 	0.21	D	1164	1	2001
snd 	0.21	D	1165	1	2001
rcv 	0.22	A	2001	0	1067
rcv 	0.22	A	2001	0	1068
